sensor_name,sensor_type,current_a,raw_voltage_v,output_current_a,output_value,ts
sensor-1,DNK-25,0.009933240698194915,3.9842951381958502,0.00398429513819585,0.00398429513819585,1785339962.4890642
sensor-2,DNK-M,0.009961501605126108,4.007308354279334,0.004007308354279334,0.004007308354279334,1785339963.4945388
sensor-1,DNK-25,0.009949510164536327,,0.00995110112020801,0.00995110112020801,1785342453.9381568
sensor-2,DNK-M,0.010127175808742417,,0.010067039521843192,0.010067039521843192,1785342456.945627
sensor-1,DNK-25,0.010028304606651715,,0.00994494132177569,0.00994494132177569,1786534984.6977265
sensor-2,DNK-M,0.010038003953456744,,0.0100118206115017,0.0100118206115017,1786534993.7056
